ocreval Word Accuracy Report Version 7.0
----------------------------------------
     904   Words
      92   Misrecognized
   89.82%  Accuracy

Stopwords
   Count   Missed   %Right   Length
       0        0   ------    Total

Non-stopwords
   Count   Missed   %Right   Length
       2        0   100.00   তিলে
       3        0   100.00   তুমি
       1        0   100.00   তেমনি
       1        0   100.00   তেসং
       2        0   100.00   তো
       1        0   100.00   তোপ
       1        0   100.00   তোমরা
       2        0   100.00   তোমাকে
       2        0   100.00   তোমার
       1        0   100.00   থমকে
       1        1     0.00   থলি
       1        1     0.00   থাকত
       1        0   100.00   থাকবার
       1        0   100.00   থাকবেন
       1        0   100.00   থাকি
       1        1     0.00   থাক‍্
       1        0   100.00   থাবার
       7        0   100.00   থেকে
       1        0   100.00   থেকেও
       1        0   100.00   দক্ষিণ
       4        1    75.00   দাঁড়িয়ে
       1        0   100.00   দাগ
       1        1     0.00   দিকচক্ৰবালের
       1        0   100.00   দিকটা
       3        0   100.00   দিকে
       2        0   100.00   দিন
       1        0   100.00   দিনের
       3        0   100.00   দিয়ে
       1        0   100.00   দিলেন
       1        0   100.00   দু'জনকে
       1        0   100.00   দু'শত
       1        1     0.00   দুটি
       1        0   100.00   দুপুর
       1        0   100.00   দুর্গ
       1        0   100.00   দুলছে
       1        1     0.00   দু’পাড়
       1        1     0.00   দূর
       1        0   100.00   দূরে
       1        0   100.00   দৃঢ়
       2        0   100.00   দেখ
       1        0   100.00   দেখলে
       1        0   100.00   দেখা
       2        0   100.00   দেখি
       1        0   100.00   দেখুন
       5        0   100.00   দেখে
       1        0   100.00   দেব
       3        0   100.00   দেবী
       2        0   100.00   দেবীর
       1        0   100.00   ধরতে
       2        0   100.00   ধাপে
       1        0   100.00   ধার
       1        0   100.00   ধারে
       1        0   100.00   ধারের
       4        0   100.00   নদীর
       5        0   100.00   নরনারায়ণ
      10        0   100.00   না
       1        1     0.00   নাঃ
       1        0   100.00   নাও
       1        0   100.00   নাকি
       1        0   100.00   নাড়বার
       1        0   100.00   নামলেন
       1        0   100.00   নারীকে
       1        1     0.00   নি
       3        0   100.00   নিজের
       1        0   100.00   নিঝুম
       1        0   100.00   নিভৃত
       1        1     0.00   নিয়ে
       1        1     0.00   নির্মম
       1        0   100.00   নিলে
       2        1    50.00   নিস্তব্ধ
       1        0   100.00   নীচের
       1        0   100.00   নীল
       1        0   100.00   নেই
       2        0   100.00   নেমে
       1        0   100.00   নৈশ
       1        0   100.00   নৌকাযাত্রীরা
       1        0   100.00   নৌকার
       1        0   100.00   নৌকোয়
       1        0   100.00   পড়ল
       1        0   100.00   পড়লেন
       1        0   100.00   পড়ে
       1        0   100.00   পতিত
       1        0   100.00   পথে
       1        0   100.00   পদ্মসম্ভবের
       1        0   100.00   পদ্মের
       4        0   100.00   পর
       1        0   100.00   পরদিন
       1        1     0.00   পরিবারবর্গ
